Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน มิ.ย 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน มิ.ย,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ก.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,30,2038,Studio,22,1233,25,1652,3.0,419,-,-,-,-,90,3352.0,4500.0,-,-,,7942.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,31,2039,Studio,25,960,34,1249,9.0,289,-,-,-,-,270,2312.0,4500.0,-,-,,7082.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,32,2040,Studio,19,1263,21,1595,2.0,332,-,-,-,-,60,2656.0,4500.0,-,-,,7216.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,33,2041,Studio,21,741,26,942,5.0,201,-,-,-,-,150,1608.0,4500.0,-,-,,6258.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,34,2042,Studio,30,650,32,761,2.0,111,-,-,-,-,60,888.0,4500.0,-,-,,5448.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,35,2043,Studio,21,823,24,1031,3.0,208,-,-,-,-,90,1664.0,4500.0,-,-,,6254.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,36,2044,Studio,23,770,28,1058,5.0,288,-,-,-,-,150,2304.0,4500.0,-,-,,6954.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,37,2045,Studio,32,1168,37,1472,5.0,304,-,-,-,-,150,2432.0,4500.0,-,-,,7082.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,38,2046,Studio,8,660,8,892,0.0,232,-,-,-,-,0,1856.0,4500.0,-,-,,6356.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,39,2047,Studio,19,916,24,1325,5.0,409,-,-,-,-,150,3272.0,4500.0,-,-,,7922.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,40,2048,Studio,13,891,16,1079,3.0,188,-,-,-,-,90,1504.0,4500.0,-,-,,6094.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
W,41,4011,Studio,21,1094,23,1419,2.0,325,-,-,-,-,60,2600.0,4500.0,,,,7160.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,42,4012,Studio,18,836,23,1086,5.0,250,-,-,-,-,150,2000.0,4500.0,,,,6650.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,43,4013,Studio,26,803,33,1057,7.0,254,-,-,-,-,210,2032.0,4500.0,,,,6742.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,44,4014,Studio,25,771,34,977,9.0,206,-,-,-,-,270,1648.0,4500.0,,,,6418.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,45,4015,Studio,12,380,18,511,6.0,131,-,-,-,-,180,1048.0,4500.0,,,,5728.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,46,4016,Studio,22,696,27,878,5.0,182,-,-,-,-,150,1456.0,4500.0,,,,6106.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,47,4017,Studio,13,709,16,870,3.0,161,-,-,-,-,90,1288.0,4500.0,,,,5878.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
