Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน มิ.ย 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน มิ.ย,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ก.ค,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,Unnamed: 22,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
W,1,4057,Studio,4,1024,4,1121.0,0.0,97.0,,,0.0,0.0,0,776.0,6800.0,-,-,,7576.0,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-03-11 00:00:00,6 เดือน,31/9/2568,ยังไม่ชำระ,
W,2,4089,Studio,7,495,7,645.0,0.0,150.0,,,0.0,0.0,0,1200.0,6800.0,-,-,,8000.0,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-03-15 00:00:00,6 เดือน,31/9/2568,ยังไม่ชำระ,
W,3,4090,Studio,6,247,10,454.0,4.0,207.0,,,0.0,0.0,120,1656.0,6800.0,-,-,,8576.0,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-03-15 00:00:00,6 เดือน,31/9/2568,ยังไม่ชำระ,
W,4,4091,Studio,5,393,8,569.0,3.0,176.0,,,0.0,0.0,90,1408.0,6800.0,-,-,,8298.0,,,,,,,,,,,,,,,,,,,,,,13260.0,2568-03-21 00:00:00,6 เดือน,31/9/2568,ยังไม่ชำระ,
,,,,,,ยูนิตน้ำ+ไฟ,,7.0,630.0,,,0.0,0.0,210,5040.0,27200.0,0,0,,32450.0,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,53040.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0.0,,หักภาษี ณ ที่จ่าย 5%,,1360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,จำนวนรวมทั้งสิ้น,,25840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดเข้า,31090,,M Estate 1788921183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ยอดออก,0,,2568-07-09 00:00:00,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
