Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ก.ย 2568 (บาท),หัก 5%,ค่าเช่าหลักหัก 5%,วันที่จ่าย ค่าเช่าข้ามไปเดือน ต.ค,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,19,2019,Studio,36,2547,40,2727,4.0,180,-,-,-,-,120,1440.0,4500.0,225.0,4275.0,,5835.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,20,2020,Studio,62,1851,64,1929,2.0,78,-,-,-,-,60,624.0,4500.0,225.0,4275.0,,4959.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,21,2029,Studio,24,1141,27,1289,3.0,148,-,-,-,-,90,1184.0,4500.0,225.0,4275.0,,5549.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,22,2030,Studio,14,447,16,516,2.0,69,-,-,-,-,60,552.0,4500.0,225.0,4275.0,,4887.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,23,2031,Studio,23,1227,28,1494,5.0,267,-,-,-,-,150,2136.0,4500.0,225.0,4275.0,,6561.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,24,2032,Studio,24,1175,25,1255,1.0,80,-,-,-,-,30,640.0,4500.0,225.0,4275.0,,4945.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,25,2033,Studio,42,1799,44,1946,2.0,147,-,-,-,-,60,1176.0,4500.0,225.0,4275.0,,5511.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,26,2034,Studio,21,1401,23,1471,2.0,70,-,-,-,-,60,560.0,4500.0,225.0,4275.0,,4895.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,27,2035,Studio,30,790,30,790,0.0,0,-,-,-,-,0,0.0,4500.0,225.0,4275.0,,4275.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,28,2036,Studio,49,1177,51,1369,2.0,192,-,-,-,-,60,1536.0,4500.0,225.0,4275.0,,5871.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,29,2037,Studio,17,1073,18,1121,1.0,48,-,-,-,-,30,384.0,4500.0,225.0,4275.0,,4689.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,30,2038,Studio,32,1959,36,2099,4.0,140,-,-,-,-,120,1120.0,4500.0,225.0,4275.0,,5515.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,31,2039,Studio,37,1444,38,1535,1.0,91,-,-,-,-,30,728.0,4500.0,225.0,4275.0,,5033.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,32,2040,Studio,27,1882,30,2017,3.0,135,-,-,-,-,90,1080.0,4500.0,225.0,4275.0,,5445.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,33,2041,Studio,30,1189,33,1342,3.0,153,-,-,-,-,90,1224.0,4500.0,225.0,4275.0,,5589.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,34,2042,Studio,35,996,37,1083,2.0,87,-,-,-,-,60,696.0,4500.0,225.0,4275.0,,5031.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,35,2043,Studio,27,1249,29,1356,2.0,107,-,-,-,-,60,856.0,4500.0,225.0,4275.0,,5191.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,36,2044,Studio,36,1271,39,1356,3.0,85,-,-,-,-,90,680.0,4500.0,225.0,4275.0,,5045.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,37,2045,Studio,47,1859,55,2118,8.0,259,-,-,-,-,240,2072.0,4500.0,225.0,4275.0,,6587.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,38,2046,Studio,9,1247,9,1292,0.0,45,-,-,-,-,0,360.0,4500.0,225.0,4275.0,,4635.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,39,2047,Studio,37,1609,41,1684,4.0,75,-,-,-,-,120,600.0,4500.0,225.0,4275.0,,4995.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,40,2048,Studio,18,1415,24,1615,6.0,200,-,-,-,-,180,1600.0,4500.0,225.0,4275.0,,6055.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
