Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า พ.ค,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน เม.ย 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่ารับล่วงหน้า ค่าเช่า เม.ย,ค่าเช่าห้อง เม.ย,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ,ค่าไฟ,Vat7% ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,เงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
N,66,5042,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,67,5043,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,68,5044,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,69,5045,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,70,5046,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,71,5047,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,72,5048,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,73,5049,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,74,5050,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,75,5051,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,76,5052,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,77,5053,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
N,78,5054,Studio IN 11/4/69,0,0,0,0,0,0,29/4/2569,M Estate 1983859190,4500.0,4275,0.0,0.0,0,0,0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,2569-04-11 00:00:00,1 ปี,,,
,,,,,,ยูนิตน้ำ+ไฟ,,132,5674,,,90000.0,85500,3960.0,277.2000000000001,45392,3177.440000000001,205629.02,10281.451000000003,195347.56900000002,,248154.20899999994,,,33000.0,33000.0,13500.0,1800.0,126.00000000000003,600.0,42.00000000000001,600.0,42.00000000000001,8112,567.8400000000001,,,,,20.0,1014.0,25389.84,40610.159999999996,,,,392500.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,175500.0,,,,,หักภาษี ณ ที่จ่าย 5%,,10281.451000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ค่าเช่า เดือน เม.ย 69,,,,,,,ประกัน+ล่วงหน้า 5019-5020 5037-5054 (20 ห้อง),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,M Estate 1983859190,,,,,,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ยอดเข้า M Estate 1983859190,,248154.20900000003,,2569-04-10 00:00:00,,,ยอดเข้า,175500,,2569-04-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,คืนย้ายออก 3 ห้อง,,ยอดออก k.ณรงค์ 0581083912,,40610.159999999996,,2569-04-30 00:00:00,,,ยอดออก,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,=,,207544.04900000003,,,,,=,175500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ห้องเช่า ครบ 50 ห้องขึ้นไป เมื่อวันที่ 31/3/69 (ห้อง 5021 - 5030),,,,,,,,,สลิปโอนค่าเช่าเดือน เมษายน,,,,,,,,,,,,,,ประกัน+ล่วงหน้า 5019-5020 5037-5054 (20 ห้อง),,,,,,,,,,,คืน Suite 3002 3004 3029 ย้ายออก 15/4/2569,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าน้ำ/ยูนิต (บาท),,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ/ยูนิต (บาท),,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หากห้องเช่าไม่เกิน 50 ห้อง ค่าเช่า Studio/เดือน (บาท),,,,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หากห้องเช่า  50 ห้อง ขึ้นไป ค่าเช่า Studio/เดือน (บาท),,,,4500,,,,,,ยอดรวมค่าใช้จ่ายผู้เช่าปัจจุบัน (ตัวเลขที่ต่างกัน จากหลักฐานการโอนค่าเช่า เม.ย),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หากห้องเช่าไม่เกิน 50 ห้อง ค่าเช่า Suite /เดือน (บาท),,,,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
หากห้องเช่า  50 ห้อง ขึ้นไป ค่าเช่า Suite /เดือน (บาท),,,,9000,,,,,ห้อง3004,11000,ค่าเช่า เม.ย (ยกไปหักเป็นค่าเช่าเดือนสุดท้าย เนื่องจากย้ายออก),,,,,เข้าพัก 14/11/68,,ย้ายออก 15/4/69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,หัก ณ ที่จ่าย 5%,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
สรุป,,ยูนิต,,,,,,,,10450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
จำนวนห้องเช่า,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายได้ค่าเช่า,,,219129.02,บาท,,,,,,258604.22,248154.20900000003,,10450.01099999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รายได้ค่าเช่า หลังหัก 5%,,,195347.56900000002,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vat7%,,,4232.480000000001,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าน้ำ,,152,4560,บาท,4560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าไฟ,,6688,53504,บาท,53504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ค่าทำความสะอาด,,1800,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าปรับ,,,600,บาท,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รวม (ผู้เช่าปัจจุบัน+ย้ายออก 3 ห้อง),,,260044.04900000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
รวม (ค่าใช้จ่ายผู้เช่าปัจจุบัน),,,248154.20900000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ค่าเช่า เม.ย,,0,,,2569-04-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5019 -5020 5037-5054,,0,,,2569-04-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
