Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,เฟส 2 Studio 5 ห้อง ย้ายมาจาก เฟส1 เมื่อวันที่ 15/3/2569,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน เม.ย 2569 (บาท),วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,,ค่าประกัน,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,Vat7%ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ,ค่าไฟ,Vat7% ค่าไฟ,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
N,1,5001,Studio Out 15/3/2569,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,M Estate 1983859190,,6500,6500,500,35,,0,60,4.2,1730,121.10000000000001,5,95,7,268,2,173,8950.300000000001,4049.699999999999,2569-04-25 00:00:00,2569-04-15 00:00:00,กสิกร 0581083912,0,2569-03-15 00:00:00,,,,
N,2,5002,Studio Out 15/3/2569,0,0,0,0,0,0,,,,,0,0,0,0,0,,0,,,6500,6500,500,35,,,90,6.300000000000001,2640,184.8,4,128,7,392,3,264,9956.099999999999,3043.9000000000015,2569-04-25 00:00:00,2569-04-15 00:00:00,กสิกร 0581083912,0,2569-03-15 00:00:00,,,,
N,3,5003,Studio,5,59,14,411,9,352,,,,,270,18.900000000000002,3520,246.40000000000003,6500,,10555.3,,,,,,,,,,,,,,,,,,,,,,,,13000,2569-03-15 00:00:00,,,,
N,4,5004,Studio,3,101,11,470,8,369,,,,,240,16.8,3690,258.3,6500,,10705.1,,,,,,,,,,,,,,,,,,,,,,,,13000,2569-03-15 00:00:00,,,,
N,5,5005,Studio,6,115,11,464,5,349,,,,,150,10.500000000000002,3490,244.3,6500,,10394.8,,,,,,,,,,,,,,,,,,,,,,,,13000,2569-03-15 00:00:00,,,,
,,,,,,ยูนิตน้ำ+ไฟ,,22,1070,,,0,0,660,46.2,10700,749,19500,,31655.2,,,13000,13000,1000,70,0,0,150,10.5,4370,305.90000000000003,,,,,5,437,18906.4,7093.6,,,,39000,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ค่าเช่า เดือน เม.ย 69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
