Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน เม.ย 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,17,2017,Studio,70,2078,73,2275,3.0,197.0,-,-,-,-,90.0,6.300000000000001,1576.0,110.32000000000001,4500,225.0,4275.0,,6057.62,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,18,2018,Studio,119,3634,129,4082,10.0,448.0,-,-,-,-,300.0,21.000000000000004,3584.0,250.88000000000002,4500,225.0,4275.0,,8430.880000000001,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,19,2019,Studio,76,3950,82,4197,6.0,247.0,-,-,-,-,180.0,12.600000000000001,1976.0,138.32000000000002,4500,225.0,4275.0,,6581.92,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,20,2020,Studio,89,3041,93,3331,4.0,290.0,-,-,-,-,120.0,8.4,2320.0,162.4,4500,225.0,4275.0,,6885.8,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,21,2029,Studio,41,1808,44,2034,3.0,226.0,-,-,-,-,90.0,6.300000000000001,1808.0,126.56000000000002,4500,225.0,4275.0,,6305.86,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,22,2030,Studio,22,715,23,757,1.0,42.0,-,-,-,-,30.0,2.1,336.0,23.520000000000003,4500,225.0,4275.0,,4666.62,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,23,2031,Studio,71,2519,71,2890,0.0,371.0,-,-,-,-,0.0,0,2968.0,207.76000000000002,4500,225.0,4275.0,,7450.76,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,24,2032,Studio,39,1697,42,1811,3.0,114.0,-,-,-,-,90.0,6.300000000000001,912.0,63.84,4500,225.0,4275.0,,5347.139999999999,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,25,2033,Studio,66,2827,68,3051,2.0,224.0,-,-,-,-,60.0,4.2,1792.0,125.44000000000001,4500,225.0,4275.0,,6256.64,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,26,2034,Studio,34,1760,37,1868,3.0,108.0,-,-,-,-,90.0,6.300000000000001,864.0,60.480000000000004,4500,225.0,4275.0,,5295.78,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,27,2035,Studio,42,1208,44,1392,2.0,184.0,-,-,-,-,60.0,4.2,1472.0,103.04,4500,225.0,4275.0,,5914.24,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,28,2036,Studio,56,1733,56,1733,0.0,0.0,-,-,-,-,0.0,0,0.0,0.0,4500,225.0,4275.0,,4275.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,29,2037,Studio,25,1503,26,1604,1.0,101.0,-,-,-,-,30.0,2.1,808.0,56.56,4500,225.0,4275.0,,5171.66,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,30,2038,Studio,53,2962,56,3202,3.0,240.0,-,-,-,-,90.0,6.300000000000001,1920.0,134.4,4500,225.0,4275.0,,6425.7,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,31,2039,Studio,49,2044,51,2184,2.0,140.0,-,-,-,-,60.0,4.2,1120.0,78.4,4500,225.0,4275.0,,5537.6,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,32,2040,Studio,46,2801,50,3113,4.0,312.0,-,-,-,-,120.0,8.4,2496.0,174.72000000000003,4500,225.0,4275.0,,7074.12,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,33,2041,Studio,44,1981,46,2090,2.0,109.0,-,-,-,-,60.0,4.2,872.0,61.040000000000006,4500,225.0,4275.0,,5272.24,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,34,2042,Studio,54,1650,60,1946,6.0,296.0,-,-,-,-,180.0,12.600000000000001,2368.0,165.76000000000002,4500,225.0,4275.0,,7001.360000000001,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,35,2043,Studio,38,2071,40,2255,2.0,184.0,-,-,-,-,60.0,4.2,1472.0,103.04,4500,225.0,4275.0,,5914.24,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,36,2044,Studio,61,1903,64,2035,3.0,132.0,-,-,-,-,90.0,6.300000000000001,1056.0,73.92,4500,225.0,4275.0,,5501.22,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,37,2045,Studio,97,3540,105,3932,8.0,392.0,-,-,-,-,240.0,16.8,3136.0,219.52,4500,225.0,4275.0,,7887.32,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,38,2046,Studio,9,1639,9,1736,0.0,97.0,-,-,-,-,0.0,0,776.0,54.32000000000001,4500,225.0,4275.0,,5105.32,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,39,2047,Studio,90,2402,102,2612,12.0,210.0,-,-,-,-,360.0,25.200000000000003,1680.0,117.60000000000001,4500,225.0,4275.0,,6457.799999999999,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,40,2048,Studio,68,2823,77,3148,9.0,325.0,-,-,-,-,270.0,18.900000000000002,2600.0,182.00000000000003,4500,225.0,4275.0,,7345.9,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
,41,4009,Studio,25,1365,27,1431,2.0,66.0,,,,,60.0,4.2,528.0,36.96,4500,225.0,4275.0,,4904.16,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,42,4011,Studio,90,4810,100,5447,10.0,637.0,-,-,-,-,300.0,21.000000000000004,5096.0,356.72,4500,225.0,4275.0,,10048.720000000001,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
