Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน พ.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน พ.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน มิ.ย,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,19,2019,Studio,23,1546,30,1990,7.0,444.0,-,-,-,-,210,3552.0,4500.0,-,-,,8262.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,20,2020,Studio,41,1025,52,1338,11.0,313.0,-,-,-,-,330,2504.0,4500.0,-,-,,7334.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,21,2029,Studio,11,475,14,657,3.0,182.0,-,-,-,-,90,1456.0,4500.0,-,-,,6046.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,22,2030,Studio,6,129,8,223,2.0,94.0,-,-,-,-,60,752.0,4500.0,-,-,,5312.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,23,2031,Studio,16,715,19,980,3.0,265.0,-,-,-,-,90,2120.0,4500.0,-,-,,6710.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,24,2032,Studio,13,530,18,782,5.0,252.0,-,-,-,-,150,2016.0,4500.0,-,-,,6666.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,25,2033,Studio,26,818,32,1124,6.0,306.0,-,-,-,-,180,2448.0,4500.0,-,-,,7128.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,26,2034,Studio,11,644,14,890,3.0,246.0,-,-,-,-,90,1968.0,4500.0,-,-,,6558.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,27,2035,Studio,20,360,24,491,4.0,131.0,-,-,-,-,120,1048.0,4500.0,-,-,,5668.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,28,2036,Studio,30,519,39,695,9.0,176.0,-,-,-,-,270,1408.0,4500.0,-,-,,6178.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,29,2037,Studio,11,516,13,689,2.0,173.0,-,-,-,-,60,1384.0,4500.0,-,-,,5944.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,30,2038,Studio,19,834,22,1233,3.0,399.0,-,-,-,-,90,3192.0,4500.0,-,-,,7782.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,31,2039,Studio,19,677,25,960,6.0,283.0,-,-,-,-,180,2264.0,4500.0,-,-,,6944.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,32,2040,Studio,15,862,19,1263,4.0,401.0,-,-,-,-,120,3208.0,4500.0,-,-,,7828.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,33,2041,Studio,21,581,21,741,0.0,160.0,-,-,-,-,0,1280.0,4500.0,-,-,,5780.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,34,2042,Studio,27,481,30,650,3.0,169.0,-,-,-,-,90,1352.0,4500.0,-,-,,5942.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,35,2043,Studio,17,625,21,823,4.0,198.0,-,-,-,-,120,1584.0,4500.0,-,-,,6204.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,36,2044,Studio,19,588,23,770,4.0,182.0,-,-,-,-,120,1456.0,4500.0,-,-,,6076.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,37,2045,Studio,24,876,32,1168,8.0,292.0,-,-,-,-,240,2336.0,4500.0,-,-,,7076.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,38,2046,Studio,8,443,8,660,0.0,217.0,-,-,-,-,0,1736.0,4500.0,-,-,,6236.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,39,2047,Studio,15,570,19,916,4.0,346.0,-,-,-,-,120,2768.0,4500.0,-,-,,7388.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,40,2048,Studio,11,597,13,891,2.0,294.0,-,-,-,-,60,2352.0,4500.0,-,-,,6912.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
