Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า เม.ย,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน มี.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ธ.ค),วันที่คืนเงินย้ายออก (ธ.ค),เงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61
C,15,3029,Suite IN 23/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,11000,10450,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,11000,2569-03-23 00:00:00,1 ปี,,,,,,,,,,,,,,,
C,16,3036,Studio,54,2642,54,2660,0.0,18,,,,,0.0,0.0,144.0,10.080000000000002,5500,275,5225.0,,5379.08,,,,,,,,,,,,,,,,,,,,,,5500,2569-01-09 00:00:00,1 ปี,,,,,,,,,,,,,,,
C,17,3038,Studio,55,2183,56,2190,1.0,7,,,,,30.0,2.1,56.0,3.9200000000000004,5500,275,5225.0,,5317.02,,,,,,,,,,,,,,,,,,,,,,5500,2569-01-09 00:00:00,1 ปี,,,,,,,,,,,,,,,
W,18,4054,Studio,67,2665,67,2791,0.0,126,-,-,,-,0.0,0.0,1008.0,70.56,5500,275,5225.0,,6303.5599999999995,,,,,,,,,,,,,,,,,,,,,,5500,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,,,,,,,,,,,,,
W,19,4055,Studio,37,2310,42,2541,5.0,231,,-,-,-,150.0,10.500000000000002,1848.0,129.36,5500,275,5225.0,,7362.860000000001,,,,,,,,,,,,,,,,,,,,,,5500,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,,,,,,,,,,,,,
W,20,4056,Studio,42,1897,44,1982,2.0,85,,-,-,-,60.0,4.2,680.0,47.6,5500,275,5225.0,,6016.8,,,,,,,,,,,,,,,,,,,,,,5500,2568-03-16 00:00:00,1 ปี,2569-01-31 00:00:00,,,,,,,,,,,,,,
W,21,4066,Studio IN 15/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-15 00:00:00,1 ปี,,,,,,,,,,,,,,,
W,22,4077,Studio IN 1/3/69,0,0,0,0,0.0,0,18/3/2569,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-01 00:00:00,1 ปี,,,,,,,,,,,,,,,
W,23,4088,Studio IN 1/3/69,0,0,0,0,0.0,0,18/3/2569,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-01 00:00:00,1 ปี,,,,,,,,,,,,,,,
W,24,4090,Studio IN 15/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-15 00:00:00,1 ปี,,,,,,,,,,,,,,,
W,25,4092,Studio,46,1333,51,1500,5.0,167,,,,,150.0,10.500000000000002,1336.0,93.52000000000001,5500,275,5225.0,,6815.02,,,,,,,,,,,,,,,,,,,,,,5500,2568-09-19 00:00:00,1 ปี,,,,,,,,,,,,,,,
W,26,4093,Studio,50,1869,55,2071,5.0,202,,,,,150.0,10.500000000000002,1616.0,113.12,5500,275,5225.0,,7114.62,,,,,,,,,,,,,,,,,,,,,,5500,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,,,,,,,,,,,,,
W,27,4094,Studio,32,614,35,679,3.0,65,,,,,90.0,6.300000000000001,520.0,36.400000000000006,5500,275,5225.0,,5877.7,,,,,,,,,,,,,,,,,,,,,,5500,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,,,,,,,,,,,,,
W,28,4095,Studio,21,1474,26,1588,5.0,114,,,,,150.0,10.500000000000002,912.0,63.84,5500,275,5225.0,,6361.34,,,,,,,,,,,,,,,,,,,,,,5500,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,,,,,,,,,,,,,
W,29,4096,Studio,45,2330,51,2512,6.0,182,,,,,180.0,12.600000000000001,1456.0,101.92000000000002,5500,275,5225.0,,6975.52,,,,,,,,,,,,,,,,,,,,,,5500,2568-11-10 00:00:00,1 ปี,,,,,,,,,,,,,,,
W,30,4114,Studio IN 15/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-15 00:00:00,1 ปี,,,,,,,,,,,,,,,
W,31,4115,Studio,28,1270,40,1342,12.0,72,,,,,360.0,25.200000000000003,576.0,40.32000000000001,5500,275,5225.0,,6226.52,,,,,,,,,,,,,,,,,,,,,,5500,2568-09-19 00:00:00,1 ปี,,,,,,,,,,,,,,,
W,32,4116,Studio,20,618,20,705,0.0,87,,,,,0.0,0.0,696.0,48.720000000000006,5500,275,5225.0,,5969.72,,,,,,,,,,,,,,,,,,,,,,5500,2568-08-14 00:00:00,1 ปี,2569-08-14 00:00:00,,,,,,,,,,,,,,
W,33,4117,Studio,14,547,17,717,3.0,170,,,,,90.0,6.300000000000001,1360.0,95.2,5500,275,5225.0,,6776.5,,,,,,,,,,,,,,,,,,,,,,5500,2568-07-15 00:00:00,1 ปี,2569-07-15 00:00:00,,,,,,,,,,,,,,
W,34,4118,Studio,31,640,34,750,3.0,110,,,,,90.0,6.300000000000001,880.0,61.60000000000001,5500,275,5225.0,,6262.9,,,,,,,,,,,,,,,,,,,,,,5500,2568-07-15 00:00:00,1 ปี,2569-07-15 00:00:00,,,,,,,,,,,,,,
W,35,4120,Studio IN 15/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-15 00:00:00,1 ปี,,,,,,,,,,,,,,,
W,36,4121,Studio IN 15/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-15 00:00:00,1 ปี,,,,,,,,,,,,,,,
W,37,4122,Studio IN 15/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-15 00:00:00,1 ปี,,,,,,,,,,,,,,,
W,38,4126,Studio,34,1172,34,1183,0.0,11,,,,,0.0,0.0,88.0,6.16,1178.57,58.9285,1119.6415,,1213.8015,,,,,,,,,,,,,,,,,,,,,,5500,2569-02-23 00:00:00,1 ปี,,,,,,,,,,,,,,,
W,39,4127,Studio IN 15/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-15 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,40,5016,Studio IN 15/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-15 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,41,5017,Studio IN 15/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-15 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,42,5018,Studio IN 15/3/69,0,0,0,0,0.0,0,2569-04-01 00:00:00,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-15 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,43,5021,Studio IN 31/3/69,0,0,0,0,0.0,0,2569-04-10 00:00:00,M Estate 1983859190,4500,4275,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-31 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,44,5022,Studio IN 31/3/69,0,0,0,0,0.0,0,2569-04-10 00:00:00,M Estate 1983859190,4500,4275,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-31 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,45,5023,Studio IN 31/3/69,0,0,0,0,0.0,0,2569-04-10 00:00:00,M Estate 1983859190,4500,4275,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-31 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,46,5024,Studio IN 31/3/69,0,0,0,0,0.0,0,2569-04-10 00:00:00,M Estate 1983859190,4500,4275,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-31 00:00:00,1 ปี,,,,,,,,,,,,,,,
N,47,5025,Studio IN 31/3/69,0,0,0,0,0.0,0,2569-04-10 00:00:00,M Estate 1983859190,4500,4275,0.0,0.0,0.0,0,0,0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500,2569-03-31 00:00:00,1 ปี,,,,,,,,,,,,,,,
