Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า พ.ค,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน พ.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่ารับล่วงหน้า ค่าเช่า เม.ย,ค่าเช่าห้อง เม.ย,ค่าทำความสะอาด,Vat7% ค่าทำความสะอาด,ค่าปรับ,Vat7% ค่าปรับ,ค่าน้ำ,Vat7% ค่าน้ำ,ค่าไฟ,Vat7% ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,เงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
W,33,4120,Studio IN 15/3/69,38,1601,43,1875,5.0,274,,,,,150.0,10.500000000000002,2192,153.44000000000003,4500.0,225.0,4275.0,,6780.9400000000005,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
W,34,4121,Studio IN 15/3/69,49,1657,54,2007,5.0,350,,,,,150.0,10.500000000000002,2800,196.00000000000003,4500.0,225.0,4275.0,,7431.5,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
W,35,4122,Studio IN 15/3/69,34,1515,42,1856,8.0,341,,,,,240.0,16.8,2728,190.96,4500.0,225.0,4275.0,,7450.76,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
W,36,4126,Studio,38,1396,42,1610,4.0,214,,,,,120.0,8.4,1712,119.84000000000002,4500.0,225.0,4275.0,,6235.24,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-23 00:00:00,1 ปี,,,
W,37,4127,Studio IN 15/3/69,36,1449,40,1832,4.0,383,,,,,120.0,8.4,3064,214.48000000000002,4500.0,225.0,4275.0,,7681.88,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
W,38,4134,Studio IN 16/5/69,0,0,0,0,0.0,0,รอชำระ,M Estate 1983859190,4500.0,4275.0,0.0,0.0,0,0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2569-05-16 00:00:00,1 ปี,,,
N,39,5016,Studio IN 15/3/69,2,67,10,386,8.0,319,,,,,240.0,16.8,2552,178.64000000000001,4500.0,225.0,4275.0,,7262.4400000000005,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
N,40,5017,Studio IN 15/3/69,2,39,7,250,5.0,211,,,,,150.0,10.500000000000002,1688,118.16000000000001,4500.0,225.0,4275.0,,6241.66,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
N,41,5018,Studio IN 15/3/69,9,79,20,420,11.0,341,,,,,330.0,23.1,2728,190.96,4500.0,225.0,4275.0,,7547.0599999999995,,,,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-03-15 00:00:00,1 ปี,,,
N,42,5019,Studio IN 11/4/69,3,8,5,115,2.0,107,,,,,60.0,4.2,856,59.92000000000001,3000.0,150.0,2850.0,,3830.12,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,11/4//2569,1 ปี,,,
N,43,5020,Studio IN 11/4/69,1,26,4,99,3.0,73,,,,,90.0,6.300000000000001,584,40.88,3000.0,150.0,2850.0,,3571.18,,,,,,,,,,,,,,,,,,,,,,,,,4500.0,11/4//2569,1 ปี,,,
