Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่า internet,Vat7% internet,ค่าห้องเดือน ม.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 26,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก,วันที่คืนเงินย้ายออก.1,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
E,1,1028,Suite,66,2212,73,2425,7,213,,,,,210,14.700000000000001,1704.0,119.28000000000002,699.0,48.93000000000001,9000.0,450.0,8550.0,2569-02-05 00:00:00,11345.91,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,17550.0,2568-06-01 00:00:00,ต่อเนื่อง,,,
E,2,1029,Suite,63,2803,71,3100,8,297,,,,,240,16.8,2376.0,166.32000000000002,0.0,,6200.0,310.0,5890.0,,8689.12,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,17550.0,2568-07-01 00:00:00,ต่อเนื่อง,,,
,,,,,,ยูนิตน้ำ+ไฟ,,15,510,,,0,0,450,31.5,4080.0,285.6,699.0,48.93000000000001,15200.0,760.0,14440.0,,20035.03,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,35100.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,0,,,,,,,หักภาษี ณ ที่จ่าย 5%,,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone,No.,Room No.,Room Type,วันที่โอนประกัน router,หมายเหตุ (บช.โอนเข้า),,ค่าประกัน,วันที่เริ่มใช้งาน,ค่าอินเทอร์เนท,,,วันที่โอนคืน,บช.โอนคืน,ประกันคงเหลือ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,1,1028,Suite,5/6/2568,M Estate 1983859190,,,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,รวม,,0,,,,,,รวม,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
