Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน ม.ค 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
W,46,4015,Studio,57,1591,64,1766,7.0,175.0,-,-,-,-,210.0,14.700000000000001,1400.0,98.00000000000001,4500,225.0,4275.0,,5997.7,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,47,4016,Studio,43,1407,44,1425,1.0,18.0,-,-,-,-,30.0,2.1,144.0,10.080000000000002,4500,225.0,4275.0,,4461.18,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,48,4017,Studio,31,1621,33,1680,2.0,59.0,-,-,-,-,60.0,4.2,472.0,33.040000000000006,4500,225.0,4275.0,,4844.24,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,49,4018,Studio,46,1407,48,1632,2.0,225.0,-,-,-,-,60.0,4.2,1800.0,126.00000000000001,4500,225.0,4275.0,,6265.2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,50,4019,Studio,35,1545,37,1623,2.0,78.0,-,-,-,-,60.0,4.2,624.0,43.68000000000001,4500,225.0,4275.0,,5006.88,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,51,4020,Studio,47,2661,53,2890,6.0,229.0,-,-,-,-,180.0,12.600000000000001,1832.0,128.24,4500,225.0,4275.0,,6427.84,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,52,4021,Studio,11,520,12,592,1.0,72.0,,,,,30.0,2.1,576.0,40.32000000000001,4500,225.0,4275.0,,4923.42,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,53,4027,Studio,10,290,10,291,0.0,1.0,,,,,0.0,0,8.0,0.56,4500,225.0,4275.0,,4283.56,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,54,4028,Studio,6,316,6,317,0.0,1.0,,,,,0.0,0,8.0,0.56,4500,225.0,4275.0,,4283.56,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,55,4029,Studio,9,297,9,298,0.0,1.0,,,,,0.0,0,8.0,0.56,4500,225.0,4275.0,,4283.56,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
