Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน พ.ย 2568 (บาท),หัก 5%,ค่าเช่าหลัง หัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,16,2016,Studio,32,1185,36,1332,4.0,147.0,-,-,-,-,120.0,8.4,1176.0,82.32000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,5661.72,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,17,2017,Studio,52,1484,56,1605,4.0,121.0,-,-,-,-,120.0,8.4,968.0,67.76,4500,225.0,4275.0,2568-12-10 00:00:00,5439.16,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,18,2018,Studio,73,2407,81,2615,8.0,208.0,-,-,-,-,240.0,16.8,1664.0,116.48000000000002,4500,225.0,4275.0,2568-12-10 00:00:00,6312.28,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,19,2019,Studio,47,2961,54,3204,7.0,243.0,-,-,-,-,210.0,14.700000000000001,1944.0,136.08,4500,225.0,4275.0,2568-12-10 00:00:00,6579.78,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,20,2020,Studio,68,2061,74,2257,6.0,196.0,-,-,-,-,180.0,12.600000000000001,1568.0,109.76,4500,225.0,4275.0,2568-12-10 00:00:00,6145.36,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,21,2029,Studio,29,1362,32,1469,3.0,107.0,-,-,-,-,90.0,6.300000000000001,856.0,59.92000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,5287.22,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,22,2030,Studio,17,544,19,628,2.0,84.0,-,-,-,-,60.0,4.2,672.0,47.040000000000006,4500,225.0,4275.0,2568-12-10 00:00:00,5058.24,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,23,2031,Studio,32,1678,36,1857,4.0,179.0,-,-,-,-,120.0,8.4,1432.0,100.24000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,5935.64,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,24,2032,Studio,28,1378,30,1457,2.0,79.0,-,-,-,-,60.0,4.2,632.0,44.24,4500,225.0,4275.0,2568-12-10 00:00:00,5015.4400000000005,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,25,2033,Studio,46,2080,52,2277,6.0,197.0,-,-,-,-,180.0,12.600000000000001,1576.0,110.32000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,6153.92,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,26,2034,Studio,25,1534,27,1578,2.0,44.0,-,-,-,-,60.0,4.2,352.0,24.64,4500,225.0,4275.0,2568-12-10 00:00:00,4715.84,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,27,2035,Studio,31,832,33,897,2.0,65.0,-,-,-,-,60.0,4.2,520.0,36.400000000000006,4500,225.0,4275.0,2568-12-10 00:00:00,4895.6,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,28,2036,Studio,53,1520,55,1695,2.0,175.0,-,-,-,-,60.0,4.2,1400.0,98.00000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,5837.2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,29,2037,Studio,20,1221,21,1269,1.0,48.0,-,-,-,-,30.0,2.1,384.0,26.880000000000003,4500,225.0,4275.0,2568-12-10 00:00:00,4717.98,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,30,2038,Studio,39,2232,42,2374,3.0,142.0,-,-,-,-,90.0,6.300000000000001,1136.0,79.52000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,5586.82,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,31,2039,Studio,40,1609,42,1692,2.0,83.0,-,-,-,-,60.0,4.2,664.0,46.480000000000004,4500,225.0,4275.0,2568-12-10 00:00:00,5049.68,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,32,2040,Studio,33,2107,36,2325,3.0,218.0,-,-,-,-,90.0,6.300000000000001,1744.0,122.08000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,6237.38,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,33,2041,Studio,35,1485,37,1576,2.0,91.0,-,-,-,-,60.0,4.2,728.0,50.96000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,5118.16,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,34,2042,Studio,38,1126,39,1154,1.0,28.0,-,-,-,-,30.0,2.1,224.0,15.680000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,4546.78,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,35,2043,Studio,31,1492,32,1602,1.0,110.0,-,-,-,-,30.0,2.1,880.0,61.60000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,5248.7,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,36,2044,Studio,43,1472,46,1546,3.0,74.0,-,-,-,-,90.0,6.300000000000001,592.0,41.440000000000005,4500,225.0,4275.0,2568-12-10 00:00:00,5004.74,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,37,2045,Studio,60,2352,68,3540,8.0,1188.0,-,-,-,-,240.0,16.8,9504.0,665.2800000000001,4500,225.0,4275.0,2568-12-10 00:00:00,14701.08,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,38,2046,Studio,9,1345,9,1401,0.0,56.0,-,-,-,-,0.0,0,448.0,31.360000000000003,4500,225.0,4275.0,2568-12-10 00:00:00,4754.36,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,39,2047,Studio,47,1789,52,1889,5.0,100.0,-,-,-,-,150.0,10.500000000000002,800.0,56.00000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,5291.5,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,40,2048,Studio,33,1867,41,2035,8.0,168.0,-,-,-,-,240.0,16.8,1344.0,94.08000000000001,4500,225.0,4275.0,2568-12-10 00:00:00,5969.88,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
W,41,4009,Studio,11,820,13,867,2.0,47.0,10/12/2568,M Estate 1983859190,4500,4275,60.0,4.2,376.0,26.320000000000004,4500,225.0,4275.0,2568-12-10 00:00:00,4741.52,,,,,,,,,,,,,,,,,,,,,8775.0,2568-11-01 00:00:00,6 เดือน,,,
W,42,4011,Studio,50,2825,58,3191,8.0,366.0,-,-,-,-,240.0,16.8,2928.0,204.96,4500,225.0,4275.0,2568-12-10 00:00:00,7664.76,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
