Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),Vat7% ค่าน้ำ,ค่าไฟ (บาท),Vat7% ค่าไฟ,ค่าห้องเดือน ธ.ค 2568 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่าข้ามไปเดือน ม.ค,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,16,2016,Studio,36,1332,40,1477,4.0,145.0,-,-,-,-,120.0,8.4,1160.0,81.2,4500,225.0,4275.0,2569-01-23 00:00:00,5644.6,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,17,2017,Studio,56,1605,58,1673,2.0,68.0,-,-,-,-,60.0,4.2,544.0,38.080000000000005,4500,225.0,4275.0,2569-01-23 00:00:00,4921.28,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,18,2018,Studio,81,2615,89,2839,8.0,224.0,-,-,-,-,240.0,16.8,1792.0,125.44000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,6449.24,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,19,2019,Studio,54,3204,61,3418,7.0,214.0,-,-,-,-,210.0,14.700000000000001,1712.0,119.84000000000002,4500,225.0,4275.0,2569-01-23 00:00:00,6331.54,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,20,2020,Studio,74,2257,79,2465,5.0,208.0,-,-,-,-,150.0,10.500000000000002,1664.0,116.48000000000002,4500,225.0,4275.0,2569-01-23 00:00:00,6215.98,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,21,2029,Studio,32,1469,35,1538,3.0,69.0,-,-,-,-,90.0,6.300000000000001,552.0,38.64,4500,225.0,4275.0,2569-01-23 00:00:00,4961.94,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,22,2030,Studio,19,628,20,645,1.0,17.0,-,-,-,-,30.0,2.1,136.0,9.520000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,4452.62,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,23,2031,Studio,36,1857,71,1986,35.0,129.0,-,-,-,-,1050.0,73.5,1032.0,72.24000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,6502.74,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,24,2032,Studio,30,1457,32,1511,2.0,54.0,-,-,-,-,60.0,4.2,432.0,30.240000000000002,4500,225.0,4275.0,2569-01-23 00:00:00,4801.44,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,25,2033,Studio,52,2277,59,2452,7.0,175.0,-,-,-,-,210.0,14.700000000000001,1400.0,98.00000000000001,4500,225.0,4275.0,2569-01-23 00:00:00,5997.7,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
