Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ส.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ส.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ก.ย,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ส.ค,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
C,17,3011,Studio,7,790,8,860,1.0,70.0,16/8/2568,M Estate 1983859190,6800,6800,30,560.0,5483.87,,,,6073.87,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-07 00:00:00,6 เดือน,,,
C,18,3014,Studio,28,1622,29,1739,1.0,117.0,-,-,-,-,30,936.0,6800,-,-,,7766.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-20 00:00:00,6 เดือน,,,
C,19,3019,Suite,26,1065,35,1407,9.0,342.0,-,-,-,-,270,2736.0,13600,-,-,,16606.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
C,20,3021,Studio,77,1670,95,1908,18.0,238.0,-,-,-,-,540,1904.0,6800,,,,9244.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-04-09 00:00:00,6 เดือน,,,
C,21,3022,Studio,24,1590,29,2099,5.0,509.0,-,-,-,-,150,4072.0,6800,-,-,,11022.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-16 00:00:00,6 เดือน,,,
C,22,3023,Studio,25,1251,26,1357,1.0,106.0,16/8/2568,M Estate 1983859190,6800,6800,30,848.0,5483.87,,,,6361.87,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-07 00:00:00,6 เดือน,,,
C,23,3025,Studio,31,1174,35,1339,4.0,165.0,-,-,-,-,120,1320.0,6800,-,-,,8240.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
C,24,3026,Studio,22,1406,26,1612,4.0,206.0,-,-,-,-,120,1648.0,6800,-,-,,8568.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
C,25,3027,Studio,22,875,33,1154,11.0,279.0,-,-,-,-,330,2232.0,6800,-,-,,9362.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-16 00:00:00,6 เดือน,,,
C,26,3028,Studio,21,1106,23,1219,2.0,113.0,16/8/2568,M Estate 1983859190,6800,6800,60,904.0,6800,,,,7764.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-01 00:00:00,6 เดือน,,,
