Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ต.ค 2568 (บาท),ภาษี ณ.ที่จ่าย 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
S,19,2019,Studio,40,2727,47,2961,7.0,234,-,-,-,-,210.0,1872,4500.0,225.0,4275.0,,6357.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,20,2020,Studio,64,1929,68,2061,4.0,132,-,-,-,-,120.0,1056,4500.0,225.0,4275.0,,5451.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,21,2029,Studio,27,1289,29,1362,2.0,73,-,-,-,-,60.0,584,4500.0,225.0,4275.0,,4919.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,22,2030,Studio,16,516,17,544,1.0,28,-,-,-,-,30.0,224,4500.0,225.0,4275.0,,4529.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,,
S,23,2031,Studio,28,1494,32,1678,4.0,184,-,-,-,-,120.0,1472,4500.0,225.0,4275.0,,5867.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,24,2032,Studio,25,1255,28,1378,3.0,123,-,-,-,-,90.0,984,4500.0,225.0,4275.0,,5349.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,25,2033,Studio,44,1946,46,2080,2.0,134,-,-,-,-,60.0,1072,4500.0,225.0,4275.0,,5407.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,26,2034,Studio,23,1471,25,1534,2.0,63,-,-,-,-,60.0,504,4500.0,225.0,4275.0,,4839.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,27,2035,Studio,30,790,31,832,1.0,42,-,-,-,-,30.0,336,4500.0,225.0,4275.0,,4641.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,28,2036,Studio,51,1369,53,1520,2.0,151,-,-,-,-,60.0,1208,4500.0,225.0,4275.0,,5543.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,29,2037,Studio,18,1121,20,1221,2.0,100,-,-,-,-,60.0,800,4500.0,225.0,4275.0,,5135.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,30,2038,Studio,36,2099,39,2232,3.0,133,-,-,-,-,90.0,1064,4500.0,225.0,4275.0,,5429.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,,
S,31,2039,Studio,38,1535,40,1609,2.0,74,-,-,-,-,60.0,592,4500.0,225.0,4275.0,,4927.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,32,2040,Studio,30,2017,33,2107,3.0,90,-,-,-,-,90.0,720,4500.0,225.0,4275.0,,5085.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,33,2041,Studio,33,1342,35,1485,2.0,143,-,-,-,-,60.0,1144,4500.0,225.0,4275.0,,5479.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,34,2042,Studio,37,1083,38,1126,1.0,43,-,-,-,-,30.0,344,4500.0,225.0,4275.0,,4649.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,35,2043,Studio,29,1356,31,1492,2.0,136,-,-,-,-,60.0,1088,4500.0,225.0,4275.0,,5423.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,36,2044,Studio,39,1356,43,1472,4.0,116,-,-,-,-,120.0,928,4500.0,225.0,4275.0,,5323.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,37,2045,Studio,55,2118,60,2352,5.0,234,-,-,-,-,150.0,1872,4500.0,225.0,4275.0,,6297.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,38,2046,Studio,9,1292,9,1345,0.0,53,-,-,-,-,0.0,424,4500.0,225.0,4275.0,,4699.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,39,2047,Studio,41,1684,47,1789,6.0,105,-,-,-,-,180.0,840,4500.0,225.0,4275.0,,5295.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
S,40,2048,Studio,24,1615,33,1867,9.0,252,-,-,-,-,270.0,2016,4500.0,225.0,4275.0,,6561.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,,
W,41,4011,Studio,42,2406,50,2825,8.0,419,-,-,-,-,240.0,3352,4500.0,225.0,4275.0,,7867.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,42,4012,Studio,37,1632,42,1827,5.0,195,-,-,-,-,150.0,1560,4500.0,225.0,4275.0,,5985.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,43,4013,Studio,53,1693,60,1934,7.0,241,-,-,-,-,210.0,1928,4500.0,225.0,4275.0,,6413.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,44,4014,Studio,41,1381,45,1575,4.0,194,-,-,-,-,120.0,1552,4500.0,225.0,4275.0,,5947.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,45,4015,Studio,38,1103,43,1217,5.0,114,-,-,-,-,150.0,912,4500.0,225.0,4275.0,,5337.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,46,4016,Studio,36,1211,38,1283,2.0,72,-,-,-,-,60.0,576,4500.0,225.0,4275.0,,4911.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,47,4017,Studio,27,1317,29,1474,2.0,157,-,-,-,-,60.0,1256,4500.0,225.0,4275.0,,5591.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,48,4018,Studio,42,1137,43,1214,1.0,77,-,-,-,-,30.0,616,4500.0,225.0,4275.0,,4921.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,49,4019,Studio,29,1216,30,1283,1.0,67,-,-,-,-,30.0,536,4500.0,225.0,4275.0,,4841.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,50,4020,Studio,28,1643,34,1962,6.0,319,-,-,-,-,180.0,2552,4500.0,225.0,4275.0,,7007.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,,
W,51,4058,Studio,15,532,15,599,0.0,67,-,-,0,0,0.0,536,4500.0,225.0,4275.0,,4811.0,M Estate 1788921183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,52,4059,Studio,26,1266,26,1266,0.0,0,-,-,0,0,0.0,0,4500.0,225.0,4275.0,,4275.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,53,4060,Studio,34,822,35,939,1.0,117,-,-,0,0,30.0,936,4500.0,225.0,4275.0,,5241.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,54,4069,Studio,55,1444,55,1460,0.0,16,-,-,0,0,0.0,128,4500.0,225.0,4275.0,,4403.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,55,4070,Studio,24,1226,24,1233,0.0,7,-,-,0,0,0.0,56,4500.0,225.0,4275.0,,4331.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,56,4071,Studio,23,714,23,714,0.0,0,-,-,0,0,0.0,0,4500.0,225.0,4275.0,,4275.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
W,57,4072,Studio,30,1367,30,1370,0.0,3,-,-,0,0,0.0,24,4500.0,225.0,4275.0,,4299.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-03-12 00:00:00,6 เดือน,31/9/2568,,
