Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน ต.ค 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ต.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน พ.ย,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก ,วันที่คืนเงินย้ายออก,เงินโอนคืนผู้เช่าย้ายออก ส.ค,วันที่คืนเงินย้ายออก ,วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ,หมายเหตุ
C,21,3022,Studio,33,2386,36,2639,3.0,253.0,-,-,-,-,90,2024.0,6800,-,-,,8914.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-16 00:00:00,6 เดือน,,,
C,22,3023,Studio,30,1598,35,2019,5.0,421.0,,,,,150,3368.0,6800,,,,10318.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-07 00:00:00,6 เดือน,,,
C,23,3025,Studio,39,1480,43,1640,4.0,160.0,-,-,-,-,120,1280.0,6800,-,-,,8200.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
C,24,3026,Studio,30,1853,32,2061,2.0,208.0,-,-,-,-,60,1664.0,6800,-,-,,8524.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
C,25,3027,Studio,46,1345,61,1628,15.0,283.0,-,-,-,-,450,2264.0,6800,-,-,,9514.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-16 00:00:00,6 เดือน,,,
C,26,3028,Studio,24,1308,27,1423,3.0,115.0,,,,,90,920.0,6800,,,,7810.0,,,,,,,,,,,,,,,,,,,,,13600.0,2568-08-01 00:00:00,6 เดือน,,,
C,27,3029,Suite,83,2144,83,2144,0.0,0.0,,,,,0,0.0,13600,,,,13600.0,,,,,,,,,,,,,,,,,,,,,27200.0,2568-06-25 00:00:00,6 เดือน,,,
C,28,3032,Suite,47,1501,52,1691,5.0,190.0,11/10/2568,M Estate 1983859190,13600,13600,150,1520.0,9212.9,,,,10882.9,,,,,,,,,,,,,,,,,,,,,27200.0,2568-10-11 00:00:00,6 เดือน,,,
C,29,3036,Studio,39,1866,43,2218,4.0,352.0,-,-,-,-,120,2816.0,6800,-,-,,9736.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-04-09 00:00:00,6 เดือน,,,
C,30,3038,Studio,39,1380,43,1711,4.0,331.0,-,-,-,-,120,2648.0,6800,-,-,,9568.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13600.0,2568-05-07 00:00:00,6 เดือน,,,
