Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า มี.ค,ค่าน้ำ (บาท),VAt7% ค่าน้ำ,ค่าไฟ (บาท),VAt7% ค่าไฟ,ค่าห้องเดือน ก.พ 2569 (บาท),หัก 5%,ค่าเช่าหลังหัก 5%,วันที่จ่าย ค่าเช่า,จำนวนเงิน (บาท),บัญชีรับโอนค่าเช่า,Unnamed: 24,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ธ.ค),วันที่คืนเงินย้ายออก (ธ.ค),เงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
W,22,4095,Studio,18,1373,21,1474,3.0,101,,,,,90.0,6.300000000000001,808.0,56.56,5500.0,275.0,5225,,6185.86,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-11 00:00:00,1 ปี,2569-08-11 00:00:00,,
W,23,4096,Studio,40,2202,45,2330,5.0,128,,,,,150.0,10.500000000000002,1024.0,71.68,5500.0,275.0,5225,,6481.18,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-11-10 00:00:00,1 ปี,,,
W,24,4115,Studio,22,1224,28,1270,6.0,46,,,,,180.0,12.600000000000001,368.0,25.76,5500.0,275.0,5225,,5811.36,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-09-19 00:00:00,1 ปี,,,
W,25,4116,Studio,20,571,20,618,0.0,47,,,,,0.0,0.0,376.0,26.320000000000004,5500.0,275.0,5225,,5627.32,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-08-14 00:00:00,1 ปี,2569-08-14 00:00:00,,
W,26,4117,Studio,11,461,14,547,3.0,86,,,,,90.0,6.300000000000001,688.0,48.160000000000004,5500.0,275.0,5225,,6057.46,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-07-15 00:00:00,1 ปี,2569-07-15 00:00:00,,
W,27,4118,Studio,25,570,31,640,6.0,70,,,,,180.0,12.600000000000001,560.0,39.2,5500.0,275.0,5225,,6016.8,,,,,,,,,,,,,,,,,,,,,,5500.0,2568-07-15 00:00:00,1 ปี,2569-07-15 00:00:00,,
W,28,4126,Studio,0,0,0,0,0.0,0,11/3/2569,M Estate 1983859190,5500,5225,0.0,0.0,0.0,0,0.0,0.0,0,,0.0,,,,,,,,,,,,,,,,,,,,,,5500.0,2569-02-23 00:00:00,1 ปี,,,
,,,,,,ยูนิตน้ำ+ไฟ,,70.0,1749,,,55000,52250,2100.0,147.0,13992.0,979.44,87112.91,4355.6455000000005,82757.26449999999,,99975.70449999999,,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,154000.0,,,,,
,,,,,,,,,,,สรุปเงินเข้าเดือนนี้,107250,,,,,หักภาษี ณ ที่จ่าย 5%,,4355.6455000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ค่าเช่า เดือน ก.พ 69,,,,,,,ประกัน + ค่าเช่าล่วงหน้า 2049 2051 4126 เข้าพัก 23/2/2569,,,,,,,ประกัน + ค่าเช่าล่วงหน้า 7 ห้อง  2052 -5058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,M Estate 1983859190,,,,,,M Estate 1983859190,,,,,,,M Estate 1983859190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดเข้า,99975.70449999999,,2569-02-05 00:00:00,,,ยอดเข้า,32175,,2569-03-11 00:00:00,,,,ยอดเข้า,75075.0,,2569-03-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ยอดออก,0,,,,,ยอดออก,0,,,,,,ยอดออก,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,=,99975.70449999999,,,,,=,32175,,,,,,=,75075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
