Zone,No.,Room No.,Room Type,น้ำ (แรกเข้า),ไฟ (แรกเข้า),น้ำ (ล่าสุด),ไฟ (ล่าสุด),ยูนิตน้ำ,ยูนิตไฟ,วันที่โอนประกัน+ล่วงหน้า,หมายเหตุ (บช.โอนเข้า),ค่าประกัน,ค่าเช่าล่วงหน้า,ค่าน้ำ (บาท),ค่าไฟ (บาท),ค่าห้องเดือน มกราคม 2568 (บาท),วันที่จ่าย ค่าเช่าในเดือน ม.ค,จำนวนเงิน (บาท),วันที่จ่าย ค่าเช่าข้ามไปเดือน ก.พ,จำนวนเงิน (บาท).1,บัญชีรับโอนค่าเช่า,ค่าประกัน.1,ค่าเช่าล่วงหน้า/ค่าห้อง,ค่าทำความสะอาด,ค่าปรับ,ค่าน้ำ,ค่าไฟ,น้ำ (แรกเข้า).1,ไฟ (แรกเข้า).1,น้ำ (ล่าสุด).1,ไฟ (ล่าสุด).1,ยูนิตน้ำ.1,ยูนิตไฟ.1,ค่าใช้จ่ายทั้งสิ้น,ยอดเงินโอนคืนผู้เช่าย้ายออก (ธ.ค),วันที่คืนเงินย้ายออก (ธ.ค),เงินโอนคืนผู้เช่าย้ายออก (ม.ค),วันที่คืนเงินย้ายออก (ม.ค),วันที่ย้ายออก,บัญชีที่ใช้โอนคืนค่าเช่า,เงินประกัน+ล่วงหน้า (คงเหลือ),วันเข้าพัก,ระยะเวลา,ประมาณวันย้ายออก,สถานะ มัดจำ+ประกัน,หมายเหตุ
S,18,2018,Studio,3,13,7,109.0,4.0,96.0,-,-,-,-,120,768.0,4500.0,-,-,,5388.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,19,2019,Studio,4,20,9,360.0,5.0,340.0,-,-,-,-,150,2720.0,4500.0,-,-,,7370.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,20,2020,Studio,11,31,18,151.0,7.0,120.0,-,-,-,-,210,960.0,4500.0,-,-,,5670.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,21,2029,Studio,4,76,7,124.0,3.0,48.0,-,-,-,-,90,384.0,4500.0,-,-,,4974.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,22,2030,Studio,3,42,3,51.0,0.0,9.0,-,-,-,-,0,72.0,4500.0,-,-,,4572.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18775.0,2567-12-07 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,23,2031,Studio,2,3,5,100.0,3.0,97.0,-,-,-,-,90,776.0,4500.0,-,-,,5366.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,24,2032,Studio,1,13,5,77.0,4.0,64.0,-,-,-,-,120,512.0,4500.0,-,-,,5132.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,25,2033,Studio,3,16,8,139.0,5.0,123.0,-,-,-,-,150,984.0,4500.0,-,-,,5634.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,26,2034,Studio,2,7,5,93.0,3.0,86.0,-,-,-,-,90,688.0,4500.0,-,-,,5278.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,27,2035,Studio,2,3,7,90.0,5.0,87.0,-,-,-,-,150,696.0,4500.0,-,-,,5346.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,28,2036,Studio,2,6,6,66.0,4.0,60.0,-,-,-,-,120,480.0,4500.0,-,-,,5100.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,29,2037,Studio,3,1,5,65.0,2.0,64.0,-,-,-,-,60,512.0,4500.0,-,-,,5072.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,30,2038,Studio,2,1,10,115.0,8.0,114.0,-,-,-,-,240,912.0,4500.0,-,-,,5652.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-24 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,31,2039,Studio,1,4,5,66.0,4.0,62.0,-,-,-,-,120,496.0,4500.0,-,-,,5116.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,32,2040,Studio,1,2,5,141.0,4.0,139.0,-,-,-,-,120,1112.0,4500.0,-,-,,5732.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,33,2041,Studio,2,14,6,100.0,4.0,86.0,-,-,-,-,120,688.0,4500.0,-,-,,5308.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,34,2042,Studio,19,6,21,69.0,2.0,63.0,-,-,-,-,60,504.0,4500.0,-,-,,5064.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,35,2043,Studio,1,4,5,66.0,4.0,62.0,-,-,-,-,120,496.0,4500.0,-,-,,5116.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,36,2044,Studio,2,10,6,88.0,4.0,78.0,-,-,-,-,120,624.0,4500.0,-,-,,5244.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,37,2045,Studio,1,2,5,133.0,4.0,131.0,-,-,-,-,120,1048.0,4500.0,-,-,,5668.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,38,2046,Studio,1,4,4,58.0,3.0,54.0,-,-,-,-,90,432.0,4500.0,-,-,,5022.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,39,2047,Studio,2,5,4,56.0,2.0,51.0,-,-,-,-,60,408.0,4500.0,-,-,,4968.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
S,40,2048,Studio,2,15,3,74.0,1.0,59.0,-,-,-,-,30,472.0,4500.0,-,-,,5002.0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2567-12-27 00:00:00,6 เดือน,31/6/2568,ชำระแล้ว,
W,41,4011,Studio,1,0,3,59.0,2.0,59.0,2568-01-24 00:00:00,"M ESTATE CO.,LTD.",4500,4275,60,472.0,2758.06,,,,3290.06,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,ชำระแล้ว,
W,42,4012,Studio,1,0,2,44.0,1.0,44.0,,,4500,4275,30,352.0,2758.06,,,,3140.06,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,ชำระแล้ว,
W,43,4013,Studio,0,0,2,38.0,2.0,38.0,,,4500,4275,60,304.0,2758.06,,,,3122.06,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,ชำระแล้ว,
W,44,4014,Studio,1,0,1,3.0,0.0,3.0,,,4500,4275,0,24.0,2758.06,,,,2782.06,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8775.0,2568-01-13 00:00:00,6 เดือน,2568-07-31 00:00:00,ชำระแล้ว,
